NAMA_PEMOHON,PEKERJAAN_PEMOHON,JENIS_KELAMIN,NO_KTP_PEMOHON,NPWP_PEMOHON,GAJI_POKOK,NAMA_PASANGAN,NO_KTP_PASANGAN,NO_REKENING_PEMOHON,TGL_AKAD,HARGA_RUMAH,NILAI_KPR,SUKU_BUNGA_KPR,TENOR,ANGSURAN_KPR,NILAI_FLPP,NAMA_PENGEMBANG,NAMA_PERUMAHAN,ALAMAT_AGUNAN,KOTA_AGUNAN,KODE_POS_AGUNAN,LUAS_TANAH,LUAS_BANGUNAN
ROBBY FAHRIYANTO,1,L,123123123,,,,,,5/1/2017,,128000000,0.05,222,,115200000,CV MANDIRI BANGUN SENTOSA,Citra Graha 5,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
MUHAMMAD RIFKI RAHMAN,1,L,456456456,,,,,,5/2/2017,,121000000,0.05,180,,108900000,CV MANDIRI BANGUN SENTOSA,Citra Graha 6,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
DIAN TOKO,1,P,789789789,,,,,,5/3/2017,,121500000,0.05,180,,109350000,CV MANDIRI BANGUN SENTOSA,Citra Graha 7,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
HESTI FITRIYANI,1,P,10111213,,,,,,5/4/2017,,121500000,0.05,180,,109350000,CV MANDIRI BANGUN SENTOSA,Citra Graha 8,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
JAINI,1,P,14151617,,,,,,5/5/2017,,121500000,0.05,180,,109350000,CV MANDIRI BANGUN SENTOSA,Citra Graha 9,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
MUHAMMAD AGUS HILAL KHOIRONI,1,L,18192021,,,,,,5/6/2017,,120000000,0.05,120,,108000000,CV MANDIRI BANGUN SENTOSA,Citra Graha 10,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
HASNA HANADIA,1,P,22232425,,,,,,5/7/2017,,121000000,0.05,240,,108900000,CV MANDIRI BANGUN SENTOSA,Citra Graha 11,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
SITI FARIDAH,1,P,26272829,,,,,,5/8/2017,,121000000,0.05,240,,108900000,CV MANDIRI BANGUN SENTOSA,Citra Graha 12,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
VERA NOVITA MAYASARI,1,P,30313233,,,,,,5/9/2017,,121600000,0.05,120,,109440000,CV MANDIRI BANGUN SENTOSA,Citra Graha 13,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
BOYONG WIRA PERDANA,1,L,34353637,,,,,,5/10/2017,,121600000,0.05,120,,109440000,CV MANDIRI BANGUN SENTOSA,Citra Graha 14,"Perum Citra Graha 2 Blok A 5, Jl. Pasir Panjang -  Kumpai Batu, Desa Pasir Panjang, Kec. Arut Selatan",KOTAWARINGIN BARAT,74151,92,36
