KODE_SALES,NO_IDENTITAS,NAMA_NASABAH,DOB,NAMA_PERUSAHAAN,KOTA,JENIS_PERUSAHAAN,KODE_POS,SOURCECODE,KETERANGAN
PCD,123454,ANGGA WISNU,4/30/1965,DINAS KOMUNIKASI DAN INFORMASI (DISKOMINFO),JAKARTA,PERBANKAN,12345,D0E3PCDUJSCP1A10E0C1E00,UNSOED CARD
PCD,123455,FRENDY PRADANA,4/25/1965,BAPELKES,JAKARTA,PERBANKAN,12346,D0E3PCDWWFCP1D10E0C1E00,WWF CARD
PCD,123456,PUTRI ANINTYO,5/15/1977,BAPELKES,JAKARTA,PERBANKAN,12347,D0E3PCDUDPCP1A10E0C1E00,UNDIP CARD
PCD,123457,WAHYU ARI,5/15/1977,BAPELKES,JAKARTA,PERBANKAN,12348,D0E3PCDHOGCP1A10E0C1E00,HOG CARD
PCD,123458,FADLAN SATRIA,5/15/1977,DINAS KOMUNIKASI DAN INFORMASI (DISKOMINFO),JAKARTA,PERBANKAN,12349,D0E3PCDWWFCP1D10E0C1E00,WWF CARD
PCD,123459,YAYAN PERDANA,5/15/1977,BADAN PELAKSANA PENYULUHAN DAN KETAHANAN RINGAN,JAKARTA,PERBANKAN,12350,D0E3PCDUSMCP1D10E0C1E00,UNS CARD
PCD,123460,MURNI MARLINA,5/15/1977,BADAN PELAKSANA PENYULUHAN DAN KETAHANAN RINGAN,JAKARTA,PERBANKAN,12351,D0E3PCDWWFCP1D10E0C1E00,WWF CARD
PCD,123461,SEITA ARLIANA,5/15/1977,BADAN PELAKSANA PENYULUHAN DAN KETAHANAN RINGAN,JAKARTA,PERBANKAN,12352,D0E3PCDWWFCP1D10E0C1E00,WWF CARD
PBY,123462,ELREZA HARDIAN,5/15/1977,POLSEK BATANGAN,JAKARTA,PERBANKAN,12353,D0E3PBYWWFCP1D20E0C1E00,WWF CARD
PBY,123463,ARANDITYA NOVIRA,5/15/1977,POLSEK KEDUNG JEPARA,JAKARTA,PERBANKAN,12354,D0E3PBYWWFCP1D20E0C1E00,WWF CARD
